Sl.No.,GLIMS_ID,Glacier_ID,Longitude,Latitude,Area_sqKM,Elev_Max(m),Elev_Min(m),Elev_Mean(m),Slope_Max(degree),Slope_Mean(degree),Slope_Min(degree),Aspect(degree),Basin
1,G090594E27960N,MChgr16_532,90.594,27.960,0.154,5520, 5336,5432,55,24,2,257,Chamkhar Chhu
2,G090606E27981N,MChgr16_533,90.606,27.981,0.136,5405, 5205,5300,61,23,0,223,Chamkhar Chhu
3,G090609E27988N,MChgr16_541,90.609,27.988,0.675,5559, 5237,5379,80,22,0,240,Chamkhar Chhu
4,G090615E27983N,MChgr16_534,90.615,27.983,0.474,5486, 5206,5369,70,20,1,185,Chamkhar Chhu
5,G090621E27980N,MChgr16_535,90.621,27.980,0.543,5601, 5222,5426,66,18,0,188,Chamkhar Chhu
6,G090739E27919N,MChgr16_582,90.739,27.919,0.222,5310, 5160,5252,58,19,1,268,Chamkhar Chhu
7,G090743E27924N,MChgr16_581,90.743,27.924,0.219,5365, 5201,5283,44,17,0,139,Chamkhar Chhu
8,G090753E27923N,MChgr16_580,90.753,27.923,0.070,5238, 5114,5173,50,23,0,315,Chamkhar Chhu
9,G090769E27931N,MChgr16_579,90.769,27.931,0.359,5398, 5159,5289,43,16,0,220,Chamkhar Chhu
10,G090527E27929N,MChgr16_508,90.527,27.929,0.478,5493, 5132,5342,54,20,0,122,Chamkhar Chhu
11,G090505E28000N,MChgr16_514,90.505,28.000,0.764,5559, 5230,5372,52,14,0,206,Chamkhar Chhu
12,G090521E27985N,MChgr16_509,90.521,27.985,0.048,5388, 5299,5338,53,24,2,269,Chamkhar Chhu
13,G090518E27993N,MChgr16_512,90.518,27.993,0.092,5544, 5346,5433,51,21,0,204,Chamkhar Chhu
14,G090521E27990N,MChgr16_510,90.521,27.990,0.093,5453, 5326,5387,55,18,0,221,Chamkhar Chhu
15,G090524E27994N,MChgr16_511,90.524,27.994,0.100,5402, 5194,5297,52,20,0,104,Chamkhar Chhu
16,G090515E27999N,MChgr16_513,90.515,27.999,0.337,5485, 5240,5391,53,16,0,80,Chamkhar Chhu
17,G090502E28006N,MChgr16_515,90.502,28.006,0.082,5455, 5294,5385,52,21,2,90,Chamkhar Chhu
18,G090497E28014N,MChgr16_517,90.497,28.014,0.262,5633, 5358,5519,70,27,0,124,Chamkhar Chhu
19,G090535E28050N,MChgr16_520,90.535,28.050,0.410,5804, 5142,5477,83,34,2,145,Chamkhar Chhu
20,G090547E28044N,MChgr16_521,90.547,28.044,0.876,5903, 4994,5222,85,21,0,196,Chamkhar Chhu
21,G090560E28041N,MChgr16_522,90.560,28.041,1.240,5810, 5159,5506,79,21,0,221,Chamkhar Chhu
22,G090569E28030N,MChgr16_524,90.569,28.030,0.562,5555,5231,5406,71,18,0,239,Chamkhar Chhu
23,G090578E28024N,MChgr16_525,90.578,28.024,0.519,5554,5209,5429,71,20,1,202,Chamkhar Chhu
24,G090589E28018N,MChgr16_544,90.589,28.018,0.178,5602,5424,5528,52,17,0,179,Chamkhar Chhu
25,G090582E28016N,MChgr16_526,90.582,28.016,0.831,5676,5257,5489,54,15,0,186,Chamkhar Chhu
26,G090593E28018N,MChgr16_545,90.593,28.018,0.218,5610,5309,5495,68,19,0,189,Chamkhar Chhu
27,G090584E28002N,MChgr16_527,90.584,28.002,0.099,5562,5423,5488,68,26,0,96,Chamkhar Chhu
28,G090573E27991N,MChgr16_529,90.573,27.991,0.106,5455,5276,5356,58,21,2,282,Chamkhar Chhu
29,G090572E27986N,MChgr16_531,90.572,27.986,0.082,5494,5269,5354,58,28,3,279,Chamkhar Chhu
30,G090610E27994N,MChgr16_542,90.61,27.994,0.222,5512,5256,5369,67,21,0,260,Chamkhar Chhu
31,G090636E27983N,MChgr16_538,90.636,27.983,0.044,5275,5157,5220,51,25,1,182,Chamkhar Chhu
32,G090629E27984N,MChgr16_536,90.629,27.984,0.237,5406,5035,5217,70,28,1,117,Chamkhar Chhu
33,G090620E27989N,MChgr16_540,90.62,27.989,0.347,5469,5088,5338,84,23,0,121,Chamkhar Chhu
34,G090607E28021N,MChgr16_546,90.607,28.021,3.849,5738,5293,5476,57,10,0,138,Chamkhar Chhu
35,G090638E28017N,MChgr16_550,90.638,28.017,0.178,5425,5270,5323,60,16,0,142,Chamkhar Chhu
36,G090629E28019N,MChgr16_549,90.629,28.019,0.073,5390,5298,5337,42,14,0,113,Chamkhar Chhu
37,G090612E28031N,MChgr16_548,90.612,28.031,0.136,5487,5405,5443,27,11,0,105,Chamkhar Chhu
38,G090625E28044N,MChgr16_551,90.625,28.044,0.097,5511,5305,5400,62,28,0,263,Chamkhar Chhu
39,G090667E28056N,MChgr16_555,90.667,28.056,0.079,5479,5313,5409,55,23,0,202,Chamkhar Chhu
40,G090671E28056N,MChgr16_556,90.671,28.056,0.063,5450,5347,5397,47,22,0,182,Chamkhar Chhu
41,G090691E28062N,MChgr16_557,90.691,28.062,7.409,6100,4879,5472,84,17,0,172,Chamkhar Chhu
42,G090704E28042N,MChgr16_558,90.704,28.042,0.114,5401,5237,5323,58,19,1,90,Chamkhar Chhu
43,G090719E28055N,MChgr16_559,90.719,28.055,4.427,5924,4973,5336,74,20,0,200,Chamkhar Chhu
44,G090733E28039N,MChgr16_560,90.733,28.039,0.375,5701,5269,5519,62,24,1,204,Chamkhar Chhu
45,G090736E28035N,MChgr16_561,90.736,28.035,0.097,5649,5247,5492,58,32,3,233,Chamkhar Chhu
46,G090748E28015N,MChgr16_564,90.748,28.015,0.070,5279,5158,5227,51,20,0,261,Chamkhar Chhu
47,G090732E28007N,MChgr16_563,90.732,28.007,0.382,5417,5182,5290,61,24,1,277,Chamkhar Chhu
48,G090756E28022N,MChgr16_566,90.756,28.022,0.258,5524,5239,5382,64,20,0,147,Chamkhar Chhu
49,G090752E28036N,MChgr16_562,90.752,28.036,8.782,6301,4912,5546,74,16,0,202,Chamkhar Chhu
50,G090769E28024N,MChgr16_567,90.769,28.024,0.115,5543,5370,5446,55,30,11,117,Chamkhar Chhu
51,G090773E28031N,MChgr16_568,90.773,28.031,0.397,5802,5270,5476,66,29,2,151,Chamkhar Chhu
52,G090788E28028N,MChgr16_569,90.788,28.028,5.956,6203,4855,5330,71,18,0,195,Chamkhar Chhu
53,G090796E27989N,MChgr16_573,90.796,27.989,0.036,5327,5203,5256,47,26,1,195,Chamkhar Chhu
54,G090779E27967N,MChgr16_575,90.779,27.967,0.12,5378,5212,5312,45,24,0,195,Chamkhar Chhu
55,G090766E27964N,MChgr16_576,90.766,27.964,0.07,5403,5267,5333,51,21,1,250,Chamkhar Chhu
56,G090781E27955N,MChgr16_577,90.781,27.955,0.053,5359,5278,5324,52,22,3,289,Chamkhar Chhu
57,G090767E27940N,MChgr16_578,90.767,27.94,1.497,5505,5127,5299,62,13,0,258,Chamkhar Chhu
